,products_Name,Prices,Image_Links
0,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","10,499",https://m.media-amazon.com/images/I/81-fFXQdPTL._AC_UL320_.jpg
1,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","10,499",https://m.media-amazon.com/images/I/812YsUxpyfL._AC_UL320_.jpg
2,"Samsung Galaxy M32 Prime Edition (Light Blue, 6GB RAM, 128GB)","13,499",https://m.media-amazon.com/images/I/81OC0ojxH6L._AC_UL320_.jpg
3,"Samsung Original 25W USB Travel Adapter for Cellular Phones, Black","1,148",https://m.media-amazon.com/images/I/21x1gw1geuL._AC_UL320_.jpg
4,Samsung 25W USB Travel Adapter for Cellular Phones - White,"1,688",https://m.media-amazon.com/images/I/21uXmiH98wL._AC_UL320_.jpg
5,"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","12,499",https://m.media-amazon.com/images/I/81-fFXQdPTL._AC_UL320_.jpg
6,"Samsung Galaxy M32 Prime Edition (Black, 6GB RAM, 128GB)","13,499",https://m.media-amazon.com/images/I/81Jov18YvpL._AC_UL320_.jpg
7,"Samsung Galaxy M33 5G (Deep Ocean Blue, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","18,499",https://m.media-amazon.com/images/I/81xvGbBFNhL._AC_UL320_.jpg
8,"Samsung Galaxy M13 (Stardust Brown, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","10,499",https://m.media-amazon.com/images/I/81Prc5i7hML._AC_UL320_.jpg
9,"Samsung Galaxy M13 (Midnight Blue, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","12,499",https://m.media-amazon.com/images/I/812YsUxpyfL._AC_UL320_.jpg
10,"Samsung Galaxy M33 5G (Deep Ocean Blue, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","16,999",https://m.media-amazon.com/images/I/81xvGbBFNhL._AC_UL320_.jpg
11,"Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","16,999",https://m.media-amazon.com/images/I/81I3w4J6yjL._AC_UL320_.jpg
12,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers","29,999",https://m.media-amazon.com/images/I/81vDZyJQ-4L._AC_UL320_.jpg
13,"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","18,499",https://m.media-amazon.com/images/I/81I3w4J6yjL._AC_UL320_.jpg
14,"Samsung Galaxy M32 Prime Edition (Black, 4GB RAM, 64GB)","11,499",https://m.media-amazon.com/images/I/81Jov18YvpL._AC_UL320_.jpg
15,"Samsung Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)","29,999",https://m.media-amazon.com/images/I/812yohjGZ2L._AC_UL320_.jpg
16,"Samsung EVO Plus 64GB microSDXC UHS-I U1 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64KA), Blue",649,https://m.media-amazon.com/images/I/61rnCkrurxL._AC_UL320_.jpg
17,"Samsung Galaxy M32 Prime Edition (Light Blue, 4GB RAM, 64GB)","11,499",https://m.media-amazon.com/images/I/81OC0ojxH6L._AC_UL320_.jpg
18,"Samsung Galaxy M33 5G (Emerald Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","16,999",https://m.media-amazon.com/images/I/81lnKynSaqL._AC_UL320_.jpg
19,"Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Blue","1,149",https://m.media-amazon.com/images/I/61fkOHNmzpL._AC_UL320_.jpg
20,"Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ear Earbuds with Mic, Upto 21 Hours Playtime, Mystic Black","5,290",https://m.media-amazon.com/images/I/61G5JoU9tTL._AC_UL320_.jpg
21,"Samsung Galaxy M13 5G (Aqua Green, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","13,999",https://m.media-amazon.com/images/I/81AQybT5k6L._AC_UL320_.jpg
22,"Samsung Galaxy S20 FE 5G (Cloud Lavender, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers","29,999",https://m.media-amazon.com/images/I/81QVLzeVckL._AC_UL320_.jpg
23,"Samsung Galaxy M13 5G (Midnight Blue, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","13,999",https://m.media-amazon.com/images/I/71EjohFmm6L._AC_UL320_.jpg
